Date,Open,High,Low,Close
3/19/2012,9.92,9.92,9.92,9.92
3/16/2012,9.95,9.95,9.95,9.95
3/15/2012,9.95,9.95,9.95,9.95
3/14/2012,9.94,9.94,9.94,9.94
3/13/2012,9.99,9.99,9.99,9.99
3/12/2012,10.02,10.02,10.02,10.02
3/9/2012,10.03,10.03,10.03,10.03
3/8/2012,10.02,10.02,10.02,10.02
3/7/2012,10.04,10.04,10.04,10.04
3/6/2012,10.05,10.05,10.05,10.05
3/5/2012,10.04,10.04,10.04,10.04
3/2/2012,10.05,10.05,10.05,10.05
3/1/2012,10.04,10.04,10.04,10.04
2/29/2012,10.05,10.05,10.05,10.05
2/28/2012,10.06,10.06,10.06,10.06
2/27/2012,10.05,10.05,10.05,10.05
2/24/2012,10.03,10.03,10.03,10.03
2/23/2012,10.03,10.03,10.03,10.03
2/22/2012,10.02,10.02,10.02,10.02
2/21/2012,10,10,10,10
2/17/2012,10.01,10.01,10.01,10.01
2/16/2012,10.01,10.01,10.01,10.01
2/15/2012,10.04,10.04,10.04,10.04
2/14/2012,10.03,10.03,10.03,10.03
2/13/2012,10.03,10.03,10.03,10.03
2/10/2012,10.02,10.02,10.02,10.02
2/9/2012,10.01,10.01,10.01,10.01
2/8/2012,10.02,10.02,10.02,10.02
2/7/2012,10.02,10.02,10.02,10.02
2/6/2012,10.04,10.04,10.04,10.04
2/3/2012,10.02,10.02,10.02,10.02
2/2/2012,10.04,10.04,10.04,10.04
2/1/2012,10.03,10.03,10.03,10.03
1/31/2012,10.04,10.04,10.04,10.04
1/30/2012,10.02,10.02,10.02,10.02
1/27/2012,10.01,10.01,10.01,10.01
1/26/2012,9.99,9.99,9.99,9.99
1/25/2012,9.95,9.95,9.95,9.95
1/24/2012,9.92,9.92,9.92,9.92
1/23/2012,9.92,9.92,9.92,9.92
1/20/2012,9.92,9.92,9.92,9.92
1/19/2012,9.93,9.93,9.93,9.93
1/18/2012,9.94,9.94,9.94,9.94
1/17/2012,9.95,9.95,9.95,9.95
1/13/2012,9.95,9.95,9.95,9.95
1/12/2012,9.92,9.92,9.92,9.92
1/11/2012,9.92,9.92,9.92,9.92
1/10/2012,9.9,9.9,9.9,9.9
1/9/2012,9.9,9.9,9.9,9.9
1/6/2012,9.9,9.9,9.9,9.9
1/5/2012,9.88,9.88,9.88,9.88
1/4/2012,9.88,9.88,9.88,9.88
1/3/2012,9.89,9.89,9.89,9.89
12/30/2011,9.9,9.9,9.9,9.9
12/29/2011,9.89,9.89,9.89,9.89
12/28/2011,9.88,9.88,9.88,9.88
12/27/2011,9.85,9.85,9.85,9.85
