Date,Open,High,Low,Close
10/11/2016,12.01,12.01,12.01,12.01
10/10/2016,12.16,12.16,12.16,12.16
10/7/2016,12.11,12.11,12.11,12.11
10/6/2016,12.15,12.15,12.15,12.15
10/5/2016,12.15,12.15,12.15,12.15
10/4/2016,12.08,12.08,12.08,12.08
10/3/2016,12.14,12.14,12.14,12.14
9/30/2016,12.17,12.17,12.17,12.17
9/29/2016,12.08,12.08,12.08,12.08
9/28/2016,12.21,12.21,12.21,12.21
9/27/2016,12.15,12.15,12.15,12.15
9/26/2016,12.07,12.07,12.07,12.07
9/23/2016,12.18,12.18,12.18,12.18
9/22/2016,12.24,12.24,12.24,12.24
9/21/2016,12.16,12.16,12.16,12.16
9/20/2016,12.03,12.03,12.03,12.03
9/19/2016,12.03,12.03,12.03,12.03
9/16/2016,12.02,12.02,12.02,12.02
9/15/2016,12.06,12.06,12.06,12.06
9/14/2016,11.94,11.94,11.94,11.94
9/13/2016,11.95,11.95,11.95,11.95
9/12/2016,12.12,12.12,12.12,12.12
9/9/2016,11.95,11.95,11.95,11.95
9/8/2016,12.24,12.24,12.24,12.24
9/7/2016,12.27,12.27,12.27,12.27
9/6/2016,12.26,12.26,12.26,12.26
9/2/2016,12.23,12.23,12.23,12.23
9/1/2016,12.18,12.18,12.18,12.18
8/31/2016,12.18,12.18,12.18,12.18
8/30/2016,12.2,12.2,12.2,12.2
8/29/2016,12.22,12.22,12.22,12.22
8/26/2016,12.16,12.16,12.16,12.16
8/25/2016,12.18,12.18,12.18,12.18
8/24/2016,12.2,12.2,12.2,12.2
8/23/2016,12.28,12.28,12.28,12.28
8/22/2016,12.24,12.24,12.24,12.24
8/19/2016,12.25,12.25,12.25,12.25
8/18/2016,12.26,12.26,12.26,12.26
8/17/2016,12.24,12.24,12.24,12.24
8/16/2016,12.23,12.23,12.23,12.23
8/15/2016,12.29,12.29,12.29,12.29
8/12/2016,12.25,12.25,12.25,12.25
8/11/2016,12.26,12.26,12.26,12.26
8/10/2016,12.21,12.21,12.21,12.21
8/9/2016,12.24,12.24,12.24,12.24
8/8/2016,12.24,12.24,12.24,12.24
8/5/2016,12.25,12.25,12.25,12.25
8/4/2016,12.15,12.15,12.15,12.15
8/3/2016,12.15,12.15,12.15,12.15
8/2/2016,12.11,12.11,12.11,12.11
8/1/2016,12.2,12.2,12.2,12.2
7/29/2016,12.2,12.2,12.2,12.2
7/28/2016,12.19,12.19,12.19,12.19
7/27/2016,12.19,12.19,12.19,12.19
7/26/2016,12.18,12.18,12.18,12.18
7/25/2016,12.18,12.18,12.18,12.18
7/22/2016,12.2,12.2,12.2,12.2
7/21/2016,12.15,12.15,12.15,12.15
7/20/2016,12.18,12.18,12.18,12.18
7/19/2016,12.12,12.12,12.12,12.12
7/18/2016,12.15,12.15,12.15,12.15
7/15/2016,12.1,12.1,12.1,12.1
7/14/2016,12.12,12.12,12.12,12.12
7/13/2016,12.06,12.06,12.06,12.06
7/12/2016,12.06,12.06,12.06,12.06
7/11/2016,11.96,11.96,11.96,11.96
7/8/2016,11.91,11.91,11.91,11.91
7/7/2016,11.72,11.72,11.72,11.72
7/6/2016,11.73,11.73,11.73,11.73
7/5/2016,11.65,11.65,11.65,11.65
7/1/2016,11.74,11.74,11.74,11.74
6/30/2016,11.71,11.71,11.71,11.71
6/29/2016,11.54,11.54,11.54,11.54
6/28/2016,11.36,11.36,11.36,11.36
6/27/2016,11.17,11.17,11.17,11.17
6/24/2016,11.38,11.38,11.38,11.38
6/23/2016,11.8,11.8,11.8,11.8
6/22/2016,11.65,11.65,11.65,11.65
6/21/2016,11.66,11.66,11.66,11.66
6/20/2016,11.64,11.64,11.64,11.64
6/17/2016,11.57,11.57,11.57,11.57
6/16/2016,11.6,11.6,11.6,11.6
6/15/2016,11.55,11.55,11.55,11.55
6/14/2016,11.56,11.56,11.56,11.56
6/13/2016,11.6,11.6,11.6,11.6
6/10/2016,11.71,11.71,11.71,11.71
6/9/2016,11.81,11.81,11.81,11.81
6/8/2016,11.85,11.85,11.85,11.85
6/7/2016,11.82,11.82,11.82,11.82
6/6/2016,11.81,11.81,11.81,11.81
6/3/2016,11.75,11.75,11.75,11.75
6/2/2016,11.79,11.79,11.79,11.79
6/1/2016,11.76,11.76,11.76,11.76
5/31/2016,11.75,11.75,11.75,11.75
5/27/2016,11.74,11.74,11.74,11.74
5/26/2016,11.69,11.69,11.69,11.69
5/25/2016,11.7,11.7,11.7,11.7
5/24/2016,11.6,11.6,11.6,11.6
5/23/2016,11.45,11.45,11.45,11.45
5/20/2016,11.48,11.48,11.48,11.48
5/19/2016,11.4,11.4,11.4,11.4
5/18/2016,11.45,11.45,11.45,11.45
5/17/2016,11.44,11.44,11.44,11.44
5/16/2016,11.54,11.54,11.54,11.54
5/13/2016,11.43,11.43,11.43,11.43
5/12/2016,11.53,11.53,11.53,11.53
5/11/2016,11.54,11.54,11.54,11.54
5/10/2016,11.65,11.65,11.65,11.65
5/9/2016,11.51,11.51,11.51,11.51
5/6/2016,11.51,11.51,11.51,11.51
5/5/2016,11.46,11.46,11.46,11.46
5/4/2016,11.48,11.48,11.48,11.48
5/3/2016,11.55,11.55,11.55,11.55
5/2/2016,11.66,11.66,11.66,11.66
4/29/2016,11.58,11.58,11.58,11.58
4/28/2016,11.67,11.67,11.67,11.67
4/27/2016,11.79,11.79,11.79,11.79
4/26/2016,11.78,11.78,11.78,11.78
4/25/2016,11.75,11.75,11.75,11.75
4/22/2016,11.77,11.77,11.77,11.77
4/21/2016,11.77,11.77,11.77,11.77
4/20/2016,11.82,11.82,11.82,11.82
4/19/2016,11.8,11.8,11.8,11.8
4/18/2016,11.76,11.76,11.76,11.76
4/15/2016,11.68,11.68,11.68,11.68
4/14/2016,11.72,11.72,11.72,11.72
4/13/2016,11.73,11.73,11.73,11.73
4/12/2016,11.6,11.6,11.6,11.6
4/11/2016,11.49,11.49,11.49,11.49
4/8/2016,11.51,11.51,11.51,11.51
4/7/2016,11.49,11.49,11.49,11.49
4/6/2016,11.64,11.64,11.64,11.64
4/5/2016,11.52,11.52,11.52,11.52
4/4/2016,11.64,11.64,11.64,11.64
4/1/2016,11.68,11.68,11.68,11.68
3/31/2016,11.61,11.61,11.61,11.61
3/30/2016,11.62,11.62,11.62,11.62
3/29/2016,11.59,11.59,11.59,11.59
3/28/2016,11.48,11.48,11.48,11.48
3/24/2016,11.48,11.48,11.48,11.48
3/23/2016,11.48,11.48,11.48,11.48
3/22/2016,11.56,11.56,11.56,11.56
3/21/2016,11.57,11.57,11.57,11.57
3/18/2016,11.55,11.55,11.55,11.55
