Date,Open,High,Low,Close
8/22/2012,15.35,15.35,15.35,15.35
8/21/2012,15.3,15.3,15.3,15.3
8/20/2012,15.39,15.39,15.39,15.39
8/17/2012,15.44,15.44,15.44,15.44
8/16/2012,15.41,15.41,15.41,15.41
8/15/2012,15.33,15.33,15.33,15.33
8/14/2012,15.3,15.3,15.3,15.3
8/13/2012,15.25,15.25,15.25,15.25
8/10/2012,15.25,15.25,15.25,15.25
8/9/2012,15.22,15.22,15.22,15.22
8/8/2012,15.2,15.2,15.2,15.2
8/7/2012,15.22,15.22,15.22,15.22
8/6/2012,15.19,15.19,15.19,15.19
8/3/2012,15.2,15.2,15.2,15.2
8/2/2012,14.92,14.92,14.92,14.92
8/1/2012,14.97,14.97,14.97,14.97
7/31/2012,15.05,15.05,15.05,15.05
7/30/2012,15.16,15.16,15.16,15.16
7/27/2012,15.21,15.21,15.21,15.21
7/26/2012,14.88,14.88,14.88,14.88
7/25/2012,14.62,14.62,14.62,14.62
7/24/2012,14.66,14.66,14.66,14.66
7/23/2012,14.78,14.78,14.78,14.78
7/20/2012,14.97,14.97,14.97,14.97
7/19/2012,15.11,15.11,15.11,15.11
7/18/2012,15.05,15.05,15.05,15.05
7/17/2012,14.96,14.96,14.96,14.96
7/16/2012,14.87,14.87,14.87,14.87
7/13/2012,14.87,14.87,14.87,14.87
7/12/2012,14.67,14.67,14.67,14.67
7/11/2012,14.71,14.71,14.71,14.71
7/10/2012,14.73,14.73,14.73,14.73
7/9/2012,14.88,14.88,14.88,14.88
7/6/2012,14.91,14.91,14.91,14.91
7/5/2012,15.09,15.09,15.09,15.09
7/3/2012,15.12,15.12,15.12,15.12
7/2/2012,15.07,15.07,15.07,15.07
6/29/2012,15.02,15.02,15.02,15.02
6/28/2012,14.62,14.62,14.62,14.62
6/27/2012,14.75,14.75,14.75,14.75
6/26/2012,14.68,14.68,14.68,14.68
6/25/2012,14.55,14.55,14.55,14.55
6/22/2012,14.76,14.76,14.76,14.76
6/21/2012,14.58,14.58,14.58,14.58
6/20/2012,14.91,14.91,14.91,14.91
6/19/2012,14.99,14.99,14.99,14.99
