Date,Close,Volume,SMAVG (15)
4/26/2000,871.90002,522240608,597993344
4/25/2000,882.34998,580901824,629315008
4/24/2000,848.78003,641938624,633942208
4/20/2000,858.95001,453838208,635885504
4/19/2000,860.17999,572622208,650670592
4/18/2000,874.31,676602688,649250368
4/17/2000,845.59998,820172096,634298688
4/14/2000,800.17999,861591488,609216128
4/13/2000,854.25,649576320,587193344
4/12/2000,874.92999,680286272,580240832
4/11/2000,910.12,526947008,567515136
4/10/2000,918.75,441536704,565181760
4/7/2000,935.19,440392000,562796544
4/6/2000,913.44,525708000,570829184
4/5/2000,906.51001,575546304,581395392
4/4/2000,910.28998,992065408,584699008
4/3/2000,913.70001,650309888,554356352
3/31/2000,922.40002,671087616,544376192
3/30/2000,915.66998,675614528,536574976
3/29/2000,937.09003,551319424,528559552
3/28/2000,940.28998,452327008,528065024
3/27/2000,953.77002,443934400,537400576
3/24/2000,952.85999,531249088,537566080
3/23/2000,952.77002,545289088,533788672
3/22/2000,934.76001,489400992,530195488
3/21/2000,927.39001,491945600,530805248
3/20/2000,900.78998,405759008,527820384
3/17/2000,906.34998,560881792,534711104
3/16/2000,893.59998,684200512,529026752
3/15/2000,857.76001,625100800,523911936
3/14/2000,842.35999,536925568,516254400
3/13/2000,860.62,500607008,510669216
3/10/2000,870.44,554069696,509344032
3/9/2000,875.75,555383424,503204448
3/8/2000,847.21002,543901184,492672320
3/7/2000,834.76001,592360384,485133440
3/6/2000,863.63,446416992,469991296
3/3/2000,875.82001,474588192,469546976
3/2/2000,854.07001,491391200,465052064
3/1/2000,851.63,498547584,462313120
2/29/2000,844.82001,447172192,460502336
2/28/2000,836.34003,509120096,454304320
2/25/2000,831.71002,475616512,448650816
2/24/2000,844.97998,607478272,446709440
2/23/2000,843.07001,510237504,435772160
2/22/2000,827,453147904,433091008
2/18/2000,824.28003,480729408,437011040
2/17/2000,851.40997,461976000,443069632
2/16/2000,846.44,397401216,452793920
2/15/2000,858.39001,430818304,458921728
2/14/2000,854.20001,365228000,462906400
2/11/2000,850.73999,439752288,469650240
2/10/2000,875.12,407164512,471851904
2/9/2000,865.96997,450307008,476895360
2/8/2000,882.71002,471385600,476979936
2/7/2000,866.28003,354202304,475530528
2/4/2000,866.09003,424317312,487297696
2/3/2000,860.82001,446495808,488860768
2/2/2000,844.95001,443419008,489710496
2/1/2000,843.51001,470020608,493023648
1/31/2000,827.78003,511948000,494971872
1/28/2000,810.40997,571608576,497661376
1/27/2000,834.78003,607840192,492468320
1/26/2000,840,489318304,490510144
1/25/2000,850.44,490588608,490081632
1/24/2000,841.21002,466385600,489037920
1/21/2000,871.91998,472777216,467407328
1/20/2000,874.90997,482816288,448117920
1/19/2000,875.75,451575712,427984640
