Date,nasdaq100,mk,us_bond,reits,commodity
2012-06-08,0.050252419415131366,0.5876599794778673,0.3253050366227121,0.03678256448428915,0.0
2012-06-11,0.04962613236812587,0.5869612627194778,0.3273302672668352,0.03608233764556112,0.0
2012-06-12,0.05015139538033173,0.587083142897461,0.32634609390522756,0.036419367816979596,0.0
2012-06-13,0.049832444260389096,0.5865808188774355,0.327340504276074,0.03624623258610126,0.0
2012-06-14,0.04995424217654039,0.5869446531999571,0.3263976680283983,0.036703436595104055,0.0
2012-06-15,0.05040025288440268,0.5870048060010212,0.32579235992173516,0.036802581192840744,0.0
2012-06-18,0.050729346290626406,0.5869030382721775,0.32535796980866766,0.037009645628528286,0.0
2012-06-19,0.05118330249119879,0.5873092015852401,0.324403759141581,0.03710373678197992,0.0
2012-06-20,0.051298045868316725,0.5868431900585874,0.32471903171643457,0.0371397323566611,0.0
2012-06-21,0.05027227011204492,0.5858891261123677,0.3271016021421823,0.036737001633404945,0.0
2012-06-22,0.05080067231310796,0.5861756081527846,0.3263351522123488,0.03668856732175842,0.0
2012-06-25,0.04987426803423427,0.5856737827502883,0.327860757797355,0.03659119141812229,0.0
2012-06-26,0.05016552069235262,0.58571466090659,0.32738851048731393,0.0367313079137432,0.0
2012-06-27,0.05040236616408021,0.5857346817405558,0.3270548845147471,0.03680806758061651,0.0
2012-06-28,0.04982154479255361,0.5855817167058125,0.32741843136027327,0.03717830714136027,0.0
2012-06-29,0.05103382916606231,0.586382215056761,0.3246599222487659,0.03792403352841058,0.0
2012-07-02,0.051033139487406814,0.5862047088168046,0.32459884699737884,0.038163304698409464,0.0
2012-07-03,0.051383480811341586,0.5865096836039733,0.3237829358133418,0.03832389977134311,0.0
2012-07-05,0.05140448735272586,0.586334856966456,0.32416148758462837,0.03809916809618941,0.0
2012-07-06,0.050737154265380134,0.5861244477905322,0.3249276420201868,0.03821075592390058,0.0
2012-07-09,0.05066201154444095,0.5859161304362648,0.32519495999801473,0.03822689802127925,0.0
2012-07-10,0.05025800153647349,0.5857721712158276,0.32613260726106685,0.03783721998663177,0.0
2012-07-11,0.049976697273897114,0.585819145601521,0.32630409670613814,0.037900060418443404,0.0
2012-07-12,0.049505114884023226,0.585711208705606,0.326752260448694,0.03803141596167662,0.0
2012-07-13,0.050108451441322685,0.5859060671802472,0.32559417467497515,0.038391306703454676,0.0
2012-07-16,0.049913534702630026,0.5857046907791198,0.3259463861266208,0.03843538839162906,0.0
2012-07-17,0.050125648553367236,0.5859251216530688,0.3251922423086531,0.03875698748491063,0.0
2012-07-18,0.05068583087103768,0.585718819051673,0.32518376923788145,0.03841158083940758,0.0
2012-07-19,0.05119626514046886,0.5862337349324103,0.3246134089384857,0.03795659098863475,0.0
2012-07-20,0.05054956470137959,0.5858484673857958,0.32580173163832216,0.03780023627450208,0.0
2012-07-23,0.05022503228625949,0.5846792917215357,0.3273727669964243,0.03772290899578025,0.0
2012-07-24,0.04986459818636765,0.5842789122884079,0.3281980568838884,0.037658432641335865,0.0
2012-07-25,0.049521957835187834,0.5844579153623647,0.32834137203572394,0.03767875476672336,0.0
2012-07-26,0.05005395816512706,0.5848673408794389,0.3272177753707454,0.03786092558468841,0.0
2012-07-27,0.051089396300820246,0.5859120856628114,0.32484121909939684,0.03815729893697144,0.0
2012-07-30,0.05088918323213215,0.5858604251621135,0.3250561036715137,0.0381942879342404,0.0
2012-07-31,0.050910181932319186,0.5855366433079006,0.3253664608810752,0.038186713878704884,0.0
2012-08-01,0.050827695718067105,0.5858524720390573,0.325227432829565,0.038092399413310385,0.0
2012-08-02,0.05064424733548856,0.5852585475404625,0.32595232104389804,0.038144884080150744,0.0
2012-08-03,0.05144551723689491,0.5863791185723102,0.323818187385652,0.0383571768051426,0.0
2012-08-06,0.05168976918713208,0.5865240794686795,0.32357852346514077,0.0382076278790474,0.0
2012-08-07,0.05220551499291051,0.5867555424013843,0.3232143005396156,0.03782464206608927,0.0
2012-08-08,0.05220330239870126,0.5868533894791358,0.32338184244376894,0.03756146567839369,0.0
2012-08-09,0.05229576218860081,0.5870367593740357,0.32324872879037153,0.03741874964699165,0.0
2012-08-10,0.0523319492573792,0.5867476240931311,0.3234668758884279,0.03745355076106134,0.0
2012-08-13,0.05246403233600062,0.5865139399661479,0.3235829841149573,0.03743904358289366,0.0
2012-08-14,0.052514290359827256,0.5869423349518775,0.32311571393954397,0.03742766074875084,0.0
2012-08-15,0.05268562187163951,0.5874662224355179,0.32222138950187357,0.03762676619096856,0.0
2012-08-16,0.05321693631908276,0.58774542619234,0.32123140175133974,0.03780623573723705,0.0
2012-08-17,0.05338993288560495,0.5876055681137108,0.32117944860584524,0.03782505039483868,0.0
2012-08-20,0.053459881757230814,0.5875443912058007,0.3212975300715587,0.03769819696540932,0.0
2012-08-21,0.05318936402520624,0.5878415929294036,0.3212552551115178,0.037713787933871944,0.0
2012-08-22,0.05328891268249831,0.5873637981364683,0.3217235690082386,0.037623720172794445,0.0
2012-08-23,0.05289041187708711,0.5872351662163471,0.32235568590646263,0.0375187360001029,0.0
2012-08-24,0.05318384485016121,0.5870971047719661,0.3220395120024569,0.037679538375415746,0.0
2012-08-28,0.05319792655622009,0.586736512975947,0.32221351721339103,0.0378520432544419,0.0
2012-08-29,0.0532458994984315,0.5867815340345166,0.32208837285025005,0.037884193616801856,0.0
2012-08-30,0.05272082515069225,0.5865525474949912,0.3228794770083829,0.03784715034593374,0.0
2012-08-31,0.052920688974870574,0.5865007774703318,0.3227458314859828,0.03783270206881484,0.0
2012-09-04,0.052869959599029834,0.5866583906096178,0.3223819215264198,0.03808972826493257,0.0
2012-09-05,0.05283008985452801,0.5865071049424277,0.32260957383491184,0.038053231368132406,0.0
2012-09-06,0.05387980020130202,0.586953598348804,0.32089156953313375,0.03827503191676026,0.0
2012-09-07,0.05370516296147139,0.5874225742379177,0.3206262037830192,0.03824605901759177,0.0
2012-09-10,0.053139677536256515,0.5875565580798634,0.32129557036237294,0.03800819402150721,0.0
2012-09-11,0.05303736682786493,0.5878047406828228,0.3210511231582269,0.03810676933108534,0.0
2012-09-12,0.053179902266191896,0.5881381971307894,0.3204967333639547,0.038185167239064115,0.0
2012-09-13,0.053714538117374484,0.5881333095715336,0.31962989122479313,0.03852226108629876,0.0
2012-09-14,0.0540838658658905,0.588966258702844,0.31828656532344307,0.03866331010782246,0.0
2012-09-17,0.054162689271765034,0.5882088307509425,0.31904967273792656,0.03857880723936596,0.0
2012-09-18,0.05426648843952632,0.5877154661645718,0.31976041042974,0.038257634966161906,0.0
2012-09-19,0.05442291483836988,0.5871580594129822,0.32034386578202795,0.03807515996662012,0.0
2012-09-20,0.0544793080232002,0.5868841968076133,0.321087652735626,0.03754884243356059,0.0
2012-09-21,0.054420843026067145,0.5870733523687443,0.32099647085769445,0.037509333747494246,0.0
2012-09-24,0.054119321332283164,0.586741343988642,0.32170161620220816,0.037437718476866666,0.0
2012-09-25,0.053513018793385936,0.5865666026789199,0.32294964802068143,0.036970730507012696,0.0
2012-09-26,0.05312413349124941,0.5861214255634686,0.3237835134727359,0.036970927472546156,0.0
2012-09-27,0.05374555515835414,0.5865458831571851,0.32265097288228217,0.037057588802178625,0.0
2012-09-28,0.053327212289299326,0.5868863426623903,0.3227777483362642,0.03700869671204629,0.0
2012-10-01,0.05325934488541575,0.5868265157446781,0.3231584177463022,0.03675572162360407,0.0
2012-10-02,0.05329366845707359,0.5868132040684815,0.32292513370411813,0.036967993770327,0.0
2012-10-03,0.05367871056409944,0.5862267921728899,0.3229979159781323,0.037096581284878645,0.0
2012-10-04,0.05382355437352164,0.5868966296716018,0.3222858579499617,0.03699395800491503,0.0
2012-10-05,0.053587757109841865,0.5870899956337806,0.32220122273908686,0.03712102451729079,0.0
2012-10-09,0.052370710349947475,0.5873218382124233,0.3233017286673345,0.037005722770294895,0.0
2012-10-10,0.0521050882898375,0.5871533718917663,0.323578867335558,0.037162672482838464,0.0
2012-10-11,0.0518786747993761,0.5873884478652238,0.3236260795162423,0.03710679781915818,0.0
2012-10-12,0.05191968688402686,0.5871006393981927,0.3240277598458463,0.03695191387193464,0.0
2012-10-15,0.05222479397478529,0.5869894314543828,0.3236072755998312,0.03717849897100121,0.0
2012-10-16,0.05287035089351627,0.5871764843680182,0.3226330064980723,0.037320158240393864,0.0
2012-10-17,0.05288446382601073,0.5875669399393055,0.32229348539916425,0.037255110835520196,0.0
2012-10-18,0.052294305894847105,0.587770591209629,0.3222967635389807,0.037638339356543926,0.0
2012-10-19,0.05117656928667377,0.5874221796837099,0.3239367028089797,0.0374645482206374,0.0
2012-10-22,0.0515745221120566,0.5869307297700074,0.3241711492906899,0.037323598827246854,0.0
2012-10-23,0.051184299242019914,0.5863506721681226,0.3253755366961072,0.03708949189375097,0.0
2012-10-24,0.05102915124552686,0.5862196176432224,0.3256353317505498,0.037115899360701664,0.0
2012-10-25,0.051140256753045586,0.5864572079956639,0.3253966740132992,0.03700586123799201,0.0
2012-10-26,0.051239347491769234,0.5862968496505718,0.32580079608695156,0.03666300677070816,0.0
2012-10-31,0.05080276585895405,0.5862139073581422,0.32602053952800664,0.03696278725489802,0.0
2012-11-01,0.051503861107517895,0.5861748724793047,0.32526097719170854,0.03706028922146965,0.0
2012-11-02,0.05103155268048077,0.585555089359969,0.32600593953404794,0.03740741842550303,0.0
2012-11-05,0.0512715460088244,0.5856033915934628,0.32600398303836003,0.03712107935935373,0.0
2012-11-06,0.05134855418181905,0.5867533789307454,0.32468553950884527,0.03721252737859119,0.0
2012-11-07,0.05017416161185151,0.5859470538760503,0.32674055393220697,0.03713823057989211,0.0
2012-11-08,0.0,0.6228526657527428,0.3375411580490309,0.039606176198226234,0.0
2012-11-09,0.0,0.6231843043229354,0.33733232744955094,0.039483368227513714,0.0
2012-11-13,0.0,0.6226521768670696,0.33790483201708943,0.0394429911158409,0.0
2012-11-14,0.0,0.6229192128448527,0.33835970728217873,0.03872107987296857,0.0
2012-11-15,0.0,0.6226338715548655,0.338778704785425,0.0385874236597097,0.0
2012-11-16,0.0,0.6227383881523559,0.33845665885320947,0.03880495299443455,0.0
2012-11-19,0.0,0.6240128395583335,0.3368302666209765,0.03915689382068983,0.0
2012-11-20,0.0,0.6235792351972941,0.33697075447404967,0.03945001032865617,0.0
2012-11-21,0.0,0.6239236127398557,0.3366862362864378,0.03939015097370629,0.0
2012-11-23,0.0,0.6245203243688445,0.33584740443764166,0.03963227119351372,0.0
