Date,nasdaq100,mk,us_bond
2003-07-24,0.0,0.49253541162491227,0.507464588375086
2003-07-25,0.0,0.4931267565408849,0.5068732434591133
2003-07-28,0.0,0.4936747023015794,0.5063252976984188
2003-07-29,0.0,0.494748096717985,0.5052519032820133
2003-07-30,0.0,0.4946027610490704,0.5053972389509278
2003-07-31,0.0,0.49580566801375925,0.504194331986239
2003-08-01,0.0,0.49593278949385217,0.5040672105061461
2003-08-04,0.0,0.4950774931766381,0.5049225068233603
2003-08-05,0.0,0.49554474944894716,0.5044552505510512
2003-08-06,0.0,0.4942564883374601,0.5057435116625383
2003-08-07,0.0,0.49434686118987803,0.5056531388101204
2003-08-08,0.0,0.4944050111479028,0.5055949888520956
2003-08-11,0.0,0.4948405764854638,0.5051594235145347
2003-08-12,0.0,0.49482732914067185,0.5051726708593267
2003-08-13,0.0,0.49585354723776104,0.5041464527622375
2003-08-14,0.0,0.49588920373246265,0.5041107962675359
2003-08-15,0.0,0.49551115958699105,0.5044888404130073
2003-08-18,0.0,0.4953452570912181,0.5046547429087803
2003-08-19,0.0,0.4944762195988958,0.5055237804011027
2003-08-20,0.0,0.4948931168314901,0.5051068831685083
2003-08-21,0.0,0.49597834215081066,0.5040216578491877
2003-08-22,0.0,0.4954425820813927,0.5045574179186058
2003-08-26,0.0,0.49524124915271545,0.504758750847283
2003-08-27,0.0,0.49578480813018144,0.504215191869817
2003-08-28,0.0,0.4950911086794112,0.5049088913205871
2003-08-29,0.0,0.49536226900966035,0.5046377309903379
2003-09-02,0.0,0.49572508815567384,0.5042749118443244
2003-09-03,0.0,0.4960152885375431,0.5039847114624549
2003-09-04,0.0,0.49571312538437745,0.5042868746156205
2003-09-05,0.0,0.4946438471071698,0.5053561528928282
2003-09-08,0.0,0.4950534046638028,0.5049465953361951
2003-09-09,0.0,0.49460044583623897,0.5053995541637588
2003-09-10,0.0,0.4935790184289607,0.506420981571037
2003-09-11,0.0,0.4942467251488589,0.5057532748511387
2003-09-12,0.0,0.4940066875127793,0.5059933124872183
2003-09-15,0.0,0.49347543922756837,0.5065245607724292
2003-09-16,0.0,0.49382505425810613,0.5061749457418915
2003-09-17,0.0,0.49300816334683584,0.5069918366531619
2003-09-18,0.0,0.493266577947313,0.5067334220526848
2003-09-19,0.0,0.4933257365386004,0.5066742634613973
2003-09-22,0.0,0.4939373753280264,0.5060626246719714
2003-09-23,0.0,0.49404256532875895,0.505957434671239
2003-09-24,0.0,0.493285007953562,0.5067149920464359
2003-09-25,0.0,0.4928788874749715,0.5071211125250266
2003-09-26,0.0,0.49227990637432145,0.5077200936256767
2003-09-29,0.0,0.4927862910322471,0.5072137089677511
2003-09-30,0.0,0.49223196219744847,0.5077680378025498
2003-10-01,0.0,0.4926572762614823,0.507342723738516
2003-10-02,0.0,0.49330505617645926,0.506694943823539
2003-10-03,0.0,0.4947425278995387,0.5052574721004593
2003-10-06,0.0,0.4947883194093812,0.5052116805906168
2003-10-07,0.0,0.4953126972534151,0.504687302746583
2003-10-08,0.0,0.49535156136957553,0.5046484386304225
2003-10-09,0.0,0.4958707288314775,0.5041292711685205
2003-10-10,0.1487522052700916,0.015691094481443648,0.8355567002484648
2003-10-14,0.1505805393662538,0.015677612812183654,0.8337418478215626
2003-10-15,0.15051055127556287,0.015686363173512418,0.8338030855509247
2003-10-16,0.15169825169552745,0.015708831251141385,0.8325929170533313
2003-10-17,0.1483541201426208,0.01571381996806748,0.8359320598893119
2003-10-20,0.1496050984008322,0.015674567403315357,0.8347203341958526
2003-10-21,0.15070143044671078,0.015663016351381218,0.8336355532019081
2003-10-22,0.14711446872557582,0.01567327942017196,0.8372122518542523
2003-10-23,0.14641457713914294,0.015675628319846455,0.8379097945410107
2003-10-24,0.14519041035085573,0.01563432245163813,0.8391752671975063
2003-10-27,0.1460305090299117,0.0156504290837866,0.8383190618863019
2003-10-28,0.1493501129973013,0.01555844093997093,0.835091446062728
2003-10-29,0.14972896462305585,0.015602730162578654,0.8346683052143657
2003-10-30,0.1498163562874698,0.015623573620612296,0.8345600700919182
2003-10-31,0.14946032110742466,0.015609177079261622,0.8349305018133141
2003-11-03,0.15213635499963754,0.015609926029994102,0.8322537189703687
2003-11-04,0.15058950657374376,0.015617667115804455,0.8337928263104522
2003-11-05,0.15091488445059617,0.015643293015579676,0.8334418225338246
2003-11-06,0.15219737364677896,0.015636212696875255,0.8321664136563461
2003-11-07,0.1520562425728289,0.01565578986486042,0.832287967562311
2003-11-10,0.15008492997759243,0.015689015176929992,0.8342260548454778
2003-11-12,0.15225453460502528,0.015648561155093256,0.8320969042398818
2003-11-13,0.151112680272254,0.015628288285805272,0.833259031441941
2003-11-14,0.14778916715870571,0.0156675473558617,0.8365432854854329
2003-11-17,0.14630719954700966,0.015658938347821,0.8380338621051696
2003-11-18,0.14361810280446247,0.015701070197962408,0.8406808269975755
2003-11-19,0.14527388968465024,0.015681087981071713,0.8390450223342784
2003-11-20,0.1435373703075207,0.015651257241295097,0.8408113724511845
2003-11-21,0.1443718336343874,0.01564747677395249,0.8399806895916604
2003-11-24,0.14879361574228767,0.015586257610652446,0.8356201266470601
2003-11-25,0.14782842693025053,0.015600313980329919,0.8365712590894196
2003-11-26,0.14889848680842419,0.015628950176049296,0.8354725630155266
2003-11-28,0.14962870572308154,0.015658414547485972,0.8347128797294326
2003-12-01,0.1519666952354353,0.01567565478823712,0.8323576499763277
2003-12-02,0.1505058222505213,0.015691036659821085,0.8338031410896577
2003-12-03,0.14952865123889936,0.015731863283270458,0.8347394854778303
2003-12-04,0.15035924554812963,0.015681521794483254,0.8339592326573873
2003-12-05,0.14714140215298735,0.01566937515443344,0.8371892226925792
2003-12-08,0.1484587070884362,0.01569757105715328,0.8358437218544106
2003-12-09,0.14570396357261803,0.015786780261828785,0.8385092561655532
2003-12-10,0.14594380723026162,0.015764111251198917,0.8382920815185393
2003-12-11,0.14797325423921093,0.015695004262261347,0.8363317414985276
2003-12-12,0.14796145706977737,0.01573196468267317,0.8363065782475492
2003-12-15,0.1462455906976356,0.01576124582032066,0.8379931634820436
2003-12-16,0.14655961446440144,0.015739512250665135,0.8377008732849333
2003-12-17,0.14603465999456927,0.015731422647320633,0.8382339173581099
2003-12-18,0.14855144914953988,0.01568038636643412,0.8357681644840259
2003-12-19,0.1480512192447859,0.015685170463599626,0.8362636102916144
2003-12-22,0.14864637626259164,0.015698677026408123,0.8356549467110003
2003-12-23,0.15062509148273362,0.01571688423671391,0.8336580242805526
2003-12-24,0.14977046964024326,0.015704805662756352,0.8345247246970006
2003-12-29,0.15217107054687504,0.015681101955642228,0.832147827497483
2003-12-30,0.15229317467214015,0.01570874536034846,0.8319980799675116
2003-12-31,0.15199454232248472,0.01569457080049314,0.8323108868770224
2004-01-02,0.15217809263141782,0.015756512379507703,0.8320653949890746
2004-01-05,0.1549814547820097,0.015739301179771292,0.8292792440382191
2004-01-06,0.15478833368192352,0.015702728495786977,0.8295089378222895
2004-01-07,0.1557638967520541,0.015671547901560157,0.8285645553463858
2004-01-08,0.1571555221860841,0.015660124597100835,0.8271843532168152
2004-01-09,0.15536558560599825,0.015654047225716283,0.8289803671682856
2004-01-12,0.15700860569960778,0.015628558766419116,0.8273628355339732
2004-01-13,0.15544740818416344,0.015634114877764407,0.8289184769380723
2004-01-14,0.15605513585745984,0.015601467246405617,0.8283433968961348
2004-01-15,0.15579969359068388,0.015579482946237583,0.8286208234630787
2004-01-16,0.15780894174561697,0.015557505137680453,0.8266335531167027
2004-01-20,0.15789650387097864,0.01559356579092204,0.8265099303380994
2004-01-21,0.1572339607891287,0.015590590508952791,0.8271754487019185
2004-01-22,0.15548735223665747,0.015598688190449744,0.8289139595728928
2004-01-23,0.15604307759942404,0.01565689295279593,0.8283000294477799
2004-01-26,0.1582981814685449,0.01565400839846572,0.8260478101329892
2004-01-27,0.15497904475656407,0.015702282208665964,0.8293186730347699
2004-01-28,0.15321729792137062,0.01578670466226679,0.8309959974163625
2004-01-29,0.15362782589725052,0.015720724029260363,0.8306514500734891
2004-01-30,0.1530036795036685,0.015709569937880658,0.8312867505584507
2004-02-02,0.152597255685539,0.015748254974238835,0.831654489340222
2004-02-03,0.15266788413261362,0.01572243881756839,0.8316096770498178
